id,text,moindze,amir,charles,final
66,"Près de cent mille euros d'impôts… Délire total de l'administration française, symbole des vies empêchées !",inclassable,inclassable,dissident,dissident
67,Injuste et inefficace,dissident,inclassable,dissident,dissident
68,pitoyable,inclassable,inclassable,dissident,dissident
69,"Ils ne peuvent ni revendiquer, ni manifester, ni voter, ni porter plainte si besoin est.",inclassable,dissident,avis acceptable,inclassable
70,"il y en a de trop .On fait une loi tout le monde s'engueulent à l'assemblée un vrai cirque personne ne veut avancés parce que tel proposition vient d'un autre parti donc c'est nul .Un vrai cirque des fois j'ai honte et ce sont des gens que l'on a mis en place ils lisent le journal ,leurs téléphones et des fois ils dorment",inclassable,dissident,dissident,dissident
71,Suppressions de toutes les agences dites ‘’d’utilité publique’’ qui seraient reconnues de non utilité.,avis acceptable,avis acceptable,avis acceptable,avis acceptable
72,Comment dire : Elle est nulle !,dissident,inclassable,dissident,dissident
73,"« Progrès »  et « modernité », ne doivent en aucun cas correspondre à un abandon d’acquis, un renoncement ou un retour en arrière ce qui est une escroquerie intellectuelle au minimum de vouloir faire croire le contraire!",avis acceptable,avis acceptable,avis acceptable,avis acceptable
74,"Exemple  particulièrement catastrophique avec l’affaire du  sieur Benalla, afin de ne plus retrouver des situations de ce genre.",inclassable,dissident,avis acceptable,inclassable
75,"Trop de milles feuilles, un véritable casse tête !",avis acceptable,avis acceptable,avis acceptable,avis acceptable
76,Trop de fonctionnaires payés à ne rien faire dans l'administration française!!!,dissident,dissident,dissident,dissident
77,Nulle,inclassable,inclassable,dissident,dissident
78,La CPAM ne voulait pas me payer et mon employeur ne voulait pas que je travaille et avec 3 vertèbres fracturées et un burn out avant ne pouvant presque pas marcher j'ai demandé une rupture conventionnelle car impossible de vivre sans argent.,inclassable,inclassable,avis acceptable,inclassable
79,Suppression de toutes ces commissions nationales qui ne servent a rien.,dissident,dissident,avis acceptable,dissident
80,Suppression de toutes les instances qui ne servent à rien (haute autorité  commissions etc.),dissident,inclassable,dissident,dissident
81,"L’etat Est très lourdement endetté ,cette dette pèse sur tous  les citoyens qui payent l.impot.il faut réduire la voilure pour l’adapter au monde moderne en fonction de l’efficacité de l’institution.",avis acceptable,avis acceptable,avis acceptable,avis acceptable
82,le sénat ne sert à rien et devrait disparaître.,dissident,dissident,avis acceptable,dissident
83,Inéligibilité à vie pour toute condamnation,avis acceptable,dissident,avis acceptable,avis acceptable
84,"Nous sommes partis dans une complexité extrême mais pire que tout, l’administration française fonctionne complètement en silo.",dissident,avis acceptable,avis acceptable,avis acceptable
85,Le bilan de cette colonne est donc égal à 0.,inclassable,inclassable,dissident,inclassable
