id,text,charles,amir,moindze,final
166,"Pourtant, avec la non prise en compte du vote blanc et de l’abstention la légitimité n’est pas présente (Election d’Emmanuel MACRON : 66% officiellement ; 44% avec comptabilisation des votes blanc et 25% d’abstention).",non dissident,non dissident,non dissident,non dissident
167,Supprimer toutes celles ne servant pas.,non dissident,dissident,dissident,dissident
168,"suppression de l'ISF mal comprise/mal expliquée/explication ""tronquée"" par les médias/réseaux sociaux ?",non dissident,non dissident,non dissident,non dissident
169,"Trop de ministres, trop de secrétaires d'état, suppression du sénat , diminution du nombre des députés.",dissident,non dissident,dissident,dissident
170,"Le système paraît trop lourd, coûteux et source de dysfonctionnements.",non dissident,non dissident,non dissident,non dissident
171,Ces droits et ces devoirs sont devenus totalement illisibles avec l’accumulation des aides et des obligations parfois contradictoires mais surtout infantilisantes qui renforcent les inégalités en stigmatisant l’assistanat et en survalorisant la réussite des initiés.,non dissident,non dissident,non dissident,non dissident
172,"Cela ne peut plus durer, être maire est difficile, demande du temps, comment comprendre que certains multiplie les casquettes par le biais de présidence de syndicats ou autres c'est simplement inacceptable dnas le monde dans lequel nous vivons.",non dissident,non dissident,non dissident,non dissident
173,Abandon du projet Métropoles qui ne correspond pas à la réalité géographique de la France,non dissident,non dissident,non dissident,non dissident
174,"Nous avons atteint le summum de la complexité administrative synonyme de lourdeur, lenteur, inefficacité coûts aberrants avec des sur-pouvoirs de nombreux hauts fonctionnaires dont les agissements sont préjudiciables et non contrôlés et/ou contrôlables.",dissident,non dissident,non dissident,non dissident
175,Les élus ayant eu une condamnation doivent perdre leur mandat et ne plus exercer de mandat.,non dissident,non dissident,non dissident,non dissident
176,Trop d'Etat tue l'Etat.,non dissident,inclassable,non dissident,non dissident
177,Trop d'Etat tue l'Etat.,non dissident,inclassable,non dissident,non dissident
178,"Ce faisant, et acceptant de vendre des armes à un gouvernement en sachant que ces armes sont utilisées contre des civils, notre pays bafoue les engagements internationaux qu’il a signés.",non dissident,dissident,non dissident,non dissident
179,"trop lourde et trop couteuse  les élus ne font pas leur job , il faut les contrôler et les remplacer si nécessaire Réduire le nombre de tous les élus  députés( 2par département )  sénateurs ( 1 par département )conseillers régionaux ( 15 par département )",dissident,non dissident,dissident,dissident
180,"Revoir l’organisation (illisible) et les prérogatives (illégitimes démocratiquement, trop larges.)",dissident,dissident,non dissident,dissident
181,"Beaucoup trop d’echelons, beaucoup trop de normes, un langage devenu incompréhensible.",non dissident,non dissident,non dissident,non dissident
182,le permis à point est un échec car l'on se retrouve aujourd'hui avec des centaines de milleirs de personnes conduisant sans permis et donc sans assurance!,non dissident,non dissident,non dissident,non dissident
183,trop d'élus : 550 000. trop de communes : 36 000.,non dissident,non dissident,non dissident,non dissident
184,"Ne pas fermer la poste ou les perceptions qui ne sont ouvert que trois par jour, réduire les employés (es) du trésor public, prélèvement à la source ( service impôts supprimé, les produits communaux en mairie pour le paiement)",non dissident,non dissident,non dissident,non dissident
185,Le mille feuilles territoriale engendre des surcoûts très importants et rend illisible les responsabilités.,non dissident,non dissident,non dissident,non dissident
186,Trop de papiers tue les papiers.,non dissident,non dissident,non dissident,non dissident
187,Retour au President arbitre élu au suffrage indirect ?,non dissident,non dissident,non dissident,non dissident
188,http://www.sincerites.org/2017/02/des-peuples-socio-economiquement-incompetents-ne-peuvent-elire-qu-un-personnel-politique-socio-economiquement-incompetent.html 5) Pauvre peuple russe : Spolié en 1917 et en 1991 !,non dissident,inclassable,inclassable,inclassable
189,"Ma taxe foncière nous coute un mois de salaire alors que mon voisin d'en face, sur l'autre commune, paye moins du tiers pou la même surface!",non dissident,non dissident,non dissident,non dissident
190,"Tout est à revoir avec suppression des commissions ad-hoc qui ne servent à rien, suppression du conseil économique social et environnemental",dissident,dissident,dissident,dissident
