,id,text,Unnamed: 2,amir,charles,moindze,sent_id,question_id,label
0,464,"Près de cent mille euros d'impôts… Délire total de l'administration française, symbole des vies empêchées !",0,inclassable,dissident,inclassable,8,UHJvcG9zYWw6MTI5MGExOTYtMWUzZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident
1,465,Injuste et inefficace,1,inclassable,dissident,dissident,0,UHJvcG9zYWw6ODRjZTk3NmYtMWUyYy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident
2,466,pitoyable,2,inclassable,dissident,inclassable,0,UHJvcG9zYWw6OTBhZmQ5YWUtMWUyZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident
3,467,"Ils ne peuvent ni revendiquer, ni manifester, ni voter, ni porter plainte si besoin est.",3,dissident,avis acceptable,inclassable,8,UHJvcG9zYWw6M2E1MzhkZWQtMWUyYy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,inclassable
4,468,Suppressions de toutes les agences dites ‘’d’utilité publique’’ qui seraient reconnues de non utilité.,5,avis acceptable,avis acceptable,avis acceptable,19,UHJvcG9zYWw6OTgxMjAyOGItMWUyZi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident
5,469,Comment dire : Elle est nulle !,6,inclassable,dissident,dissident,0,UHJvcG9zYWw6OGQzZjFhMzMtMWUzYy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident
6,470,"« Progrès »  et « modernité », ne doivent en aucun cas correspondre à un abandon d’acquis, un renoncement ou un retour en arrière ce qui est une escroquerie intellectuelle au minimum de vouloir faire croire le contraire!",7,avis acceptable,avis acceptable,avis acceptable,61,UHJvcG9zYWw6MDgzNzJhZTAtMWUyOC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident
7,471,"Exemple  particulièrement catastrophique avec l’affaire du  sieur Benalla, afin de ne plus retrouver des situations de ce genre.",8,dissident,avis acceptable,inclassable,6,UHJvcG9zYWw6MjNiN2M1OTgtMWUzMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,inclassable
8,472,"Trop de milles feuilles, un véritable casse tête !",9,avis acceptable,avis acceptable,avis acceptable,0,UHJvcG9zYWw6ZGJmNjcwNjUtMWUzMS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,non dissident
9,473,Trop de fonctionnaires payés à ne rien faire dans l'administration française!!!,10,dissident,dissident,dissident,0,UHJvcG9zYWw6Y2Q3ZmY2ZmMtMWUzMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident
10,474,Nulle,11,inclassable,dissident,inclassable,0,UHJvcG9zYWw6M2MzOWM3NTMtMWUzYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,dissident
